product_id;neighbor_products_id
41703;[104411, 94357, 83329, 38659, 87176, 117925, 80169, 15457, 61306, 80177]
131048;[131049, 126470, 83325, 87729, 131050, 112487, 38659, 121398, 71988, 110312]
60783;[93902, 114788, 60788, 66013, 20707, 38866, 122708, 125815, 110468, 40183]
104410;[17033, 44304, 61523, 43275, 20080, 59379, 107393, 81363, 86861, 119073]
110092;[54495, 79964, 16174, 15278, 79486, 89582, 69643, 67468, 81527, 80572]
79487;[104410, 30793, 107468, 87379, 112706, 44919, 19526, 19762, 85387, 117038]
131049;[131050, 131048, 126470, 126469, 17756, 112231, 122732, 117871, 128867, 69487]
131050;[131049, 131048, 126470, 126469, 128867, 30749, 38012, 111713, 80040, 15657]
51553;[51559, 51558, 72533, 15372, 18143, 16746, 56397, 57376, 87718, 54901]
110093;[20514, 86362, 44843, 18420, 42524, 125923, 80572, 37970, 110460, 125815]
81363;[80572, 53525, 53541, 117873, 40036, 17170, 18939, 70111, 20470, 85191]
131643;[133494, 130405, 70106, 38044, 64291, 63022, 18612, 18359, 29449, 117358]
62137;[41046, 86660, 93824, 62136, 70954, 110200, 63477, 81362, 69355, 75639]
125841;[128917, 110092, 80572, 79487, 125865, 53525, 128909, 71509, 79464, 109969]
132520;[18355, 56398, 18334, 20006, 82419, 133494, 19758, 39080, 115757, 68609]
131411;[116554, 110511, 127376, 38092, 33430, 18355, 85331, 104486, 92895, 132863]
125865;[71067, 125841, 80572, 117873, 79464, 125815, 121103, 107468, 110092, 128917]
131646;[69486, 68609, 40998, 51631, 37985, 64977, 71728, 40189, 79808, 85491]
70110;[70111, 91957, 117873, 70954, 43728, 80572, 81385, 81363, 19836, 62137]
105690;[112253, 128867, 18202, 40837, 82010, 18240, 51023, 38092, 69453, 78091]
128917;[125841, 89582, 79464, 80572, 125865, 110092, 93090, 128909, 53525, 90086]
77496;[63782, 77501, 40115, 19484, 110092, 110312, 121432, 19909, 70518, 110452]
128909;[80572, 125841, 110092, 79464, 53525, 128917, 125865, 89582, 104410, 79486]
85737;[20978, 19690, 29439, 83433, 19684, 51023, 18379, 111300, 111317, 111291]
81129;[]
69487;[133283, 104448, 133494, 17242, 86036, 18283, 29439, 38740, 18452, 40383]
18593;[39411, 82376, 40165, 119482, 53366, 108788, 40998, 79808, 40268, 91431]
18364;[51061, 18518, 18381, 116664, 84121, 53365, 72008, 18323, 19721, 19643]
18326;[61090, 19687, 53365, 39411, 18364, 29439, 40446, 37982, 84669, 19676]
18279;[18330, 41800, 51061, 116664, 18323, 18364, 53365, 18359, 18381, 29439]
131606;[29439, 133494, 68604, 18355, 18330, 37998, 30581, 108461, 40258, 19778]
127324;[132907, 63464, 63998, 71729, 66569, 116193, 110692, 71734, 24631, 84169]
133494;[38018, 68609, 65123, 68604, 58839, 131606, 37998, 108461, 55744, 68608]
133284;[133283, 29439, 133494, 40998, 18355, 37998, 132863, 38740, 55159, 71728]
133283;[133284, 133494, 38018, 29439, 71728, 132803, 18452, 71729, 65123, 58839]
133438;[133662, 69453, 104406, 108461, 90051, 132804, 119074, 93627, 93946, 87318]
69453;[75987, 133662, 105690, 113414, 20836, 132751, 64851, 71729, 133283, 51023]
75836;[61090, 39411, 41388, 53366, 37982, 19687, 119482, 40165, 89526, 85163]
50807;[]
51164;[]
125875;[111046, 18420, 68600, 111047, 125815, 88267, 94175, 71781, 17190, 90820]
77501;[92135, 127324, 77496, 121034, 112662, 42669, 20582, 85894, 55913, 39631]
63477;[81362, 89582, 108554, 116947, 125854, 65453, 77430, 93870, 108498, 44627]
125815;[125875, 111046, 59652, 18420, 111047, 109782, 110093, 125923, 76449, 68600]
68868;[133662, 42519, 32152, 75305, 78075, 78607, 85163, 51631, 75535, 63814]
65453;[60954, 20080, 92902, 104446, 104448, 110093, 53335, 110136, 92029, 104410]
69109;[133494, 38304, 105682, 133284, 132520, 18355, 20531, 125878, 69512, 40258]
38984;[18381, 51061, 18364, 116490, 53365, 85446, 29439, 18518, 64006, 19721]
92713;[51061, 18364, 38984, 53365, 61090, 19687, 29439, 89575, 39150, 40258]
70837;[51061, 59086, 123006, 18364, 84671, 91518, 17303, 110854, 69482, 76473]
81500;[38984, 53365, 88096, 21817, 18364, 18381, 39150, 51061, 29439, 71126]
92019;[39411, 53366, 105432, 110042, 119482, 82376, 41388, 61090, 39150, 18283]
86905;[51061, 116490, 18364, 18452, 81568, 18381, 81497, 91966, 92947, 53365]
21813;[18364, 116490, 116942, 124076, 29439, 51061, 88267, 41701, 54860, 81309]
81498;[38984, 51138, 44101, 21817, 18364, 89203, 51061, 18381, 19688, 88152]
92708;[33278, 81500, 18381, 41870, 51609, 110061, 88096, 53366, 123054, 76483]
92706;[79766, 79767, 85325, 29439, 79258, 91966, 19721, 115299, 63016, 40258]
56406;[122732, 32151, 88422, 39099, 39352, 53366, 80109, 79808, 51631, 88215]
115292;[81530, 81527, 81531, 79463, 19721, 17455, 87097, 112486, 30581, 87100]
55915;[125823, 85163, 76746, 43387, 19808, 58642, 122732, 71728, 53366, 88215]
115243;[103715, 92709, 18301, 29439, 63753, 40065, 84106, 51061, 90268, 18283]
89965;[69643, 50185, 50019, 60884, 103716, 29439, 18364, 19814, 37985, 77479]
92018;[41679, 73358, 54732, 40998, 37982, 53366, 73620, 40165, 81396, 39411]
81499;[105673, 32151, 116942, 111012, 63030, 110706, 39764, 81996, 123141, 88152]
57530;[71113, 114740, 122739, 116466, 110083, 127663, 51128, 63222, 127610, 110844]
92709;[51575, 115331, 111023, 105673, 72008, 40268, 20060, 103715, 63813, 18364]
78136;[70085, 88150, 60288, 29706, 59086, 85074, 93713, 81432, 43871, 89593]
55879;[91957, 123023, 123207, 110010, 18353, 85733, 123006, 19687, 75110, 39099]
